h/k,1,2,3,4,5,6,7,8,9,10,15,20,25,30,35,40,45,50
7,-0.1558,0.1049,0.0211,-0.0099,0.0637,0.0552,0.0954,0.0477,0.0211,0.0321,0.0097,0.0236,0.0314,0.0462,0.0378,0.0358,0.0449,0.0330
14,0.1219,0.2686,0.2280,0.1849,0.1795,0.1380,0.1551,0.1074,0.0875,0.0960,0.0886,0.0661,0.0749,0.1129,0.1025,0.1089,0.1158,0.1074
21,0.1276,0.2201,0.1878,0.1745,0.2017,0.1668,0.1628,0.1287,0.0682,0.0664,0.0816,0.0742,0.0874,0.1297,0.1261,0.1283,0.1333,0.1238
28,0.1920,0.2964,0.2485,0.2583,0.2683,0.2121,0.2187,0.1507,0.0621,0.0768,0.0781,0.0792,0.0959,0.1532,0.1546,0.1553,0.1683,0.1579
35,0.2407,0.3152,0.2393,0.2437,0.2846,0.2439,0.2309,0.1545,0.0904,0.1261,0.1263,0.1186,0.1355,0.1826,0.1957,0.1931,0.2037,0.1931
42,0.2402,0.3371,0.2425,0.2193,0.2922,0.2776,0.2867,0.2164,0.1683,0.1900,0.1964,0.1754,0.1812,0.2226,0.2297,0.2282,0.2336,0.2237
49,0.2403,0.2887,0.2007,0.2244,0.2970,0.2676,0.2805,0.2133,0.1749,0.1894,0.2034,0.1968,0.2000,0.2375,0.2283,0.2214,0.2252,0.2172
56,0.4642,0.3081,0.1843,0.1830,0.2582,0.2285,0.2538,0.1880,0.1504,0.1607,0.1969,0.1913,0.2055,0.2430,0.2343,0.2305,0.2350,0.2262
63,0.3856,0.3943,0.2499,0.2685,0.3143,0.2595,0.3001,0.2081,0.1684,0.1719,0.1954,0.1591,0.1706,0.2108,0.1997,0.1996,0.2070,0.2021
70,0.3958,0.3990,0.2796,0.2804,0.2937,0.2591,0.2895,0.2071,0.1763,0.1799,0.2125,0.1554,0.1409,0.1810,0.1807,0.1808,0.1940,0.1896
77,0.4487,0.4135,0.2914,0.2879,0.2820,0.2481,0.2749,0.2131,0.1915,0.2034,0.2195,0.1441,0.1320,0.1682,0.1735,0.1724,0.1815,0.1740
84,0.6023,0.5322,0.3554,0.2866,0.2918,0.2734,0.2960,0.2248,0.2007,0.2068,0.2177,0.1380,0.1347,0.1699,0.1724,0.1736,0.1747,0.1670
91,0.5505,0.5546,0.3843,0.3157,0.3225,0.3051,0.3121,0.2176,0.1910,0.2068,0.2178,0.1253,0.1139,0.1448,0.1548,0.1561,0.1589,0.1520
